,sum_sq,df,F,PR(>F)
C(ano),493.8130293938103,3.0,46.17594160237598,9.698812294594868e-30
cobertura_pop_4g5g_z,182334.2554606792,1.0,51149.65846041258,0.0
fibra_z,1093803.4569142633,1.0,306841.2630562907,0.0
densidade_smp_z,136706.78186734827,1.0,38349.925986589704,0.0
hhi_smp_z,46227.6552820362,1.0,12968.09956597407,0.0
densidade_scm_z,106555.55316638229,1.0,29891.696092707898,0.0
hhi_scm_z,32619.307250539954,1.0,9150.592250835647,0.0
adensamento_estacoes_z,81666.68495997776,1.0,22909.699731095254,0.0
Residual,79382.76925145891,22269.0,,
